"","SL_C21h0","SL_GAT21h2","SL_GAT21h4","SL_T21h2"
"Gene151",6.83776686,6.72615038,6.28916908533333,6.86771389533333
"Gene152",6.85981674866667,6.96936685366667,6.66572082333333,6.708582912
"Gene153",6.825954831,7.11974253766667,6.90720795666667,6.85650675733333
"Gene154",6.902083744,8.89797482466667,7.17222269466667,8.86545987833333
"Gene155",6.804290577,7.55896729866667,6.889106862,7.65626407133333
"Gene156",6.863331275,7.752995644,6.767142307,7.82610697533333
"Gene157",6.915018603,6.97075045433333,7.00862556366667,6.91530403333333
"Gene158",6.978778013,7.128882754,7.003437892,7.010040525
"Gene159",6.86968087933333,7.07270093933333,6.859952724,6.932409483
"Gene16",4.242637321,4.34258780033333,4.23723049233333,4.276297669
"Gene160",6.865276751,7.08654635633333,6.81992319366667,6.98634499666667
"Gene161",7.09227384433333,7.49379210133333,7.57772977966667,7.24649232566667
