ID,SL_C21h0_1,SL_C21h0_2,SL_C21h0_3,SL_T21h2_1,SL_T21h2_2,SL_T21h2_3,SL_GAT21h2_1,SL_GAT21h2_2,SL_GAT21h2_3,SL_GAT21h4_1,SL_GAT21h4_2,SL_GAT21h4_3
Gene239,7.735753338,7.759007002,7.610621655,7.516285631,7.683918982,7.66312174,7.598480054,7.487263179,8.221046002,7.726345549,7.443675236,7.553471705
Gene240,7.759911244,7.936289837,7.763799819,7.835435802,7.876418779,7.752630665,8.025892817,8.140025836,8.033953477,7.886169289,7.99672149,7.974771637
Gene241,7.768755905,7.560000381,7.798398375,7.933347327,7.515166047,7.466733577,7.289795348,7.64898553,7.409476946,7.116053957,7.075503473,7.275088063
Gene242,7.774802116,7.833841235,7.914136524,8.186651039,7.725112322,7.90167008,8.065108499,8.23619853,8.016487472,7.607469076,7.742628813,7.67140516
Gene243,7.777776168,8.002129439,8.108387064,8.008881371,8.027453082,8.008719196,8.133869452,8.203889435,8.241648621,7.9721868,8.061699499,8.05564702
Gene244,7.780404179,7.840368092,7.738187008,7.868785268,7.66556057,7.802924928,7.693993163,7.700834296,7.714410177,7.951354906,7.941340429,7.702559575
Gene245,7.783686117,7.794220309,7.844345846,8.063670206,8.203736984,7.931610079,8.103085496,8.264604646,8.146422925,8.002512908,7.987793973,7.993558668
Gene246,7.78772386,8.013834509,7.664512616,8.17282496,8.768914501,8.789738757,8.816746051,8.633671977,8.565783894,8.367055017,8.057959374,8.42374318
Gene247,7.802971917,7.829557112,7.892630462,7.995902654,7.913976062,7.970268148,8.017598124,8.111753447,8.183878807,7.729452094,7.788538386,8.078184405
Gene248,7.8123728,7.761558592,7.869392138,7.759153907,7.994365772,7.763526904,8.030343903,8.015817895,7.918080272,7.762876318,7.860922008,8.062116869
Gene249,7.813291096,7.857884976,7.850733806,8.022095484,8.143059847,8.00270395,8.485627628,8.301521312,8.224480625,8.205988973,7.983700124,8.098192473
Gene250,7.833644301,7.748755927,7.77764169,8.019278529,7.876526675,7.862084367,7.619609757,7.848494239,7.803387043,7.577727779,7.573403651,7.547926102
Gene251,7.843262227,7.866013898,7.822538298,7.661579973,7.550743499,7.427259617,7.690571198,7.676833828,7.801735388,7.826719562,7.698090748,7.622522824
Gene252,7.848616107,7.746469518,7.895266106,8.016384064,7.856873624,7.989951348,8.035445308,7.868603551,7.822300441,7.67702128,7.566874634,7.56523573
Gene253,7.848712661,7.908141533,7.967904354,7.663356599,7.56274125,7.774540436,7.231317822,7.575372076,7.324937616,7.607041325,7.619697541,7.592278592
Gene254,7.864048584,7.935953443,7.882336956,7.640418098,7.579347384,7.488283832,7.660317438,7.613965722,7.508232687,7.408043808,7.295546648,7.21241084
